t_s,hr_bpm
4859,118
4860,117
4867,119
4869,116
4870,119
4876,121
4882,121
4889,123
4890,122
4896,121
4902,122
4909,121
4910,121
4917,120
4918,120
4925,120
4929,120
4936,119
4937,119
4942,120
4945,123
4950,120
4952,122
4959,121
4961,122
4968,122
4969,122
4976,123
4979,124
4986,125
4992,125
4998,126
4999,126
5003,126
5006,123
5007,124
5010,127
5013,126
5019,126
5026,124
5033,123
5037,122
5038,122
5039,119
5040,122
5043,120
5045,122
5048,123
5049,123
5050,123
5052,123
5053,123
5056,123
5060,124
5062,124
5065,123
5070,123
5074,122
5078,124
5082,126
5083,128
5087,124
5089,126
5091,126
5096,126
5101,126
5107,126
5114,129
5116,127
5120,127
5121,127
5126,131
5129,135
5134,135
5140,134
5143,133
5148,131
5150,131
5154,134
5157,133
5163,130
5166,131
5173,135
5180,136
5188,136
5194,136
5196,139
5200,137
5208,138
5212,138
5217,138
5219,138
5222,136
5224,135
5225,135
5231,135
5233,135
5235,135
5241,134
5248,131
5256,133
5283,124
5286,122
5290,118
5291,117
5296,118
5299,120
5300,123
5302,120
5307,118
5308,121
5312,120
5317,124
5324,126
5325,125
5326,128
5329,124
5330,127
5335,128
5341,128
5345,126
5346,126
5349,127
5352,130
5353,128
5358,128
5360,131
5361,128
5362,129
5363,129
5370,130
5375,131
5382,131
5387,130
5391,128
5392,130
5396,128
5398,128
5400,127
5405,128
5407,125
5409,126
5410,128
5416,128
5422,128
5430,127
5437,128
5438,128
5443,129
5444,129
5451,128
5455,131
5457,131
5462,130
5469,129
5477,130
5481,127
5483,130
5491,132
5495,136
5496,133
5499,134
5501,131
5507,134
5513,134
5517,137
5521,139
5522,133
5527,135
5534,135
5541,132
5542,133
5544,130
5549,132
5558,129
5562,126
5565,127
5567,126
5571,124
5578,124
5579,119
5581,122
5584,125
5585,125
5586,128
5588,128
5593,129
5598,131
5602,137
5605,135
5612,137
5618,139
5622,132
5623,132
5624,128
5626,127
5628,124
5631,121
5634,118
5636,122
5640,122
5644,122
5646,124
5652,123
5658,127
5660,126
5664,123
5665,123
5666,124
5672,126
5679,125
5686,128
5693,126
5694,129
5702,130
5703,131
5710,130
5717,130
5718,131
5725,130
5732,131
5739,132
5744,135
5747,137
5748,138
5751,139
5753,139
5756,140
5762,141
5767,140
